//Floor1Tables//
1,125,9,39,75,BLOCK
1,200,116,28,28,BLOCK
1,226,108,31,36,BLOCK
1,304,117,29,26,BLOCK
1,333,109,36,34,BLOCK
1,132,282,28,29,BLOCK
1,372,286,26,31,BLOCK
1,372,178,27,32,BLOCK
1,372,209,39,79,BLOCK
1,504,284,25,36,BLOCK
1,300,300,20,20,BLOCK
1,125,450,20,20,BLOCK
1,125,480,20,20,BLOCK
1,100,677,20,20,BLOCK
1,150,677,20,20,BLOCK
1,140,700,10,10,BLOCK
1,200,677,20,20,BLOCK
1,235,677,20,20,BLOCK
1,275,677,20,20,BLOCK
1,305,677,20,20,BLOCK
1,175,700,20,20,BLOCK
1,175,725,20,20,BLOCK
1,200,700,20,20,BLOCK
1,200,725,20,20,BLOCK
1,225,700,20,10,BLOCK
1,245,700,20,10,BLOCK
1,265,700,20,10,BLOCK
1,285,700,20,10,BLOCK
1,235,725,20,20,BLOCK
1,372,475,20,20,BLOCK
1,372,550,20,20,BLOCK
1,372,575,20,20,BLOCK
1,333,720,20,20,BLOCK
1,482,717,20,9,BLOCK
1,502,719,19,9,BLOCK
1,520,721,19,9,BLOCK
1,538,724,19,9,BLOCK
1,557,729,19,9,BLOCK
1,575,734,19,9,BLOCK
1,593,738,19,9,BLOCK
1,611,745,19,9,BLOCK
1,629,750,19,9,BLOCK
1,557,729,19,9,BLOCK
1,575,734,19,9,BLOCK
1,593,738,19,9,BLOCK
1,611,745,19,9,BLOCK
1,629,750,19,9,BLOCK
1,0,0,20,8,BLOCK
1,0,0,20,8,BLOCK
1,0,0,20,8,BLOCK
1,0,0,20,8,BLOCK
1,0,0,8,20,BLOCK
1,0,0,8,20,BLOCK
1,600,650,10,10,BLOCK
1,620,650,10,10,BLOCK
1,600,670,10,10,BLOCK
1,620,670,10,10,BLOCK
1,257,730,17,17,CIRCLE
1,284,730,17,17,CIRCLE
1,376,727,17,17,CIRCLE
1,399,727,17,17,CIRCLE
1,422,727,17,17,CIRCLE
1,422,707,17,17,CIRCLE
1,466,504,17,17,CIRCLE
1,466,530,17,17,CIRCLE
1,466,556,17,17,CIRCLE
1,76,765,20,8,SMALLCIRCLE_H
1,98,765,20,8,SMALLCIRCLE_H
1,120,765,20,8,SMALLCIRCLE_H
1,142,765,20,8,SMALLCIRCLE_H
1,163,765,20,8,SMALLCIRCLE_H
1,186,765,20,8,SMALLCIRCLE_H
1,207,765,20,8,SMALLCIRCLE_H
1,229,765,20,8,SMALLCIRCLE_H
1,250,765,20,8,SMALLCIRCLE_H
1,272,765,20,8,SMALLCIRCLE_H
1,294,765,20,8,SMALLCIRCLE_H
1,315,765,20,8,SMALLCIRCLE_H
1,337,765,20,8,SMALLCIRCLE_H
1,359,765,20,8,SMALLCIRCLE_H
1,59,677,20,7,SMALLCIRCLE_H
1,104,705,20,8,SMALLCIRCLE_H
1,509,340,11,25,SMALLCIRCLE_V
1,509,370,11,25,SMALLCIRCLE_V
1,509,564,11,25,SMALLCIRCLE_V
1,509,594,11,25,SMALLCIRCLE_V
//Floor2Tables///
2,300,116,28,28,BLOCK
2,326,108,31,36,BLOCK
2,204,117,29,26,BLOCK
//Floor3Tables//
3,400,116,28,28,BLOCK
3,526,108,31,36,BLOCK
3,404,117,29,26,BLOCK
