//Floor1Tables//
1,125,9,39,75,BLOCK,4
1,200,116,28,28,BLOCK,4
1,226,108,31,36,BLOCK,4
1,304,117,29,26,BLOCK,4
1,333,109,36,34,BLOCK,4
1,132,282,28,29,BLOCK,4
1,372,286,26,31,BLOCK,4
1,372,178,27,32,BLOCK,4
1,372,209,39,79,BLOCK,4
1,504,284,25,36,BLOCK,4
1,122,430,42,37,BLOCK,4
1,122,466,39,32,BLOCK,4
1,92,675,40,23,BLOCK,4
1,132,675,40,23,BLOCK,4
1,139,704,10,10,BLOCK,4
1,187,677,23,12,BLOCK,4
1,225,675,41,28,BLOCK,4
1,266,675,43,28,BLOCK,4
1,314,681,10,20,BLOCK,4
1,173,703,12,22,BLOCK,4
1,173,729,12,24,BLOCK,4
1,197,707,16,15,BLOCK,4
1,197,730,16,15,BLOCK,4
1,225,704,19,16,BLOCK,4
1,246,704,19,16,BLOCK,4
1,267,704,19,16,BLOCK,4
1,288,704,20,16,BLOCK,4
1,236,731,17,17,BLOCK,4
1,372,466,25,29,BLOCK,4
1,372,548,25,25,BLOCK,4
1,372,573,25,28,BLOCK,4
1,334,721,28,29,BLOCK,4
1,416,468,18,17,BLOCK,4
1,630,678,30,8,BLOCK,4
1,654,695,8,18,BLOCK,4
1,654,721,8,19,BLOCK,4
1,482,717,20,8,BLOCK,4
1,502,719,19,8,BLOCK,4
1,520,721,19,9,BLOCK,4
1,538,725,19,8,BLOCK,4
1,557,729,18,8,BLOCK,4
1,574,734,18,8,BLOCK,4
1,593,738,19,9,BLOCK,4
1,611,745,19,9,BLOCK,4
1,629,750,19,9,BLOCK,4
1,557,729,19,9,BLOCK,4
1,575,734,19,9,BLOCK,4
1,593,738,19,9,BLOCK,4
1,611,745,19,9,BLOCK,4
1,629,750,19,9,BLOCK,4
1,607,693,13,13,BLOCK,4
1,607,713,13,13,BLOCK,4
1,629,703,13,13,BLOCK,4
1,629,724,13,13,BLOCK,4
1,257,730,17,17,CIRCLE,4
1,284,730,17,17,CIRCLE,4
1,376,727,17,17,CIRCLE,4
1,399,727,17,17,CIRCLE,4
1,422,727,17,17,CIRCLE,4
1,422,707,17,17,CIRCLE,4
1,466,504,17,17,CIRCLE,4
1,466,530,17,17,CIRCLE,4
1,466,556,17,17,CIRCLE,4
1,76,765,20,8,SMALLCIRCLE_H,4
1,98,765,20,8,SMALLCIRCLE_H,4
1,120,765,20,8,SMALLCIRCLE_H,4
1,142,765,20,8,SMALLCIRCLE_H,4
1,163,765,20,8,SMALLCIRCLE_H,4
1,186,765,20,8,SMALLCIRCLE_H,4
1,207,765,20,8,SMALLCIRCLE_H,4
1,229,765,20,8,SMALLCIRCLE_H,4
1,250,765,20,8,SMALLCIRCLE_H,4
1,272,765,20,8,SMALLCIRCLE_H,4
1,294,765,20,8,SMALLCIRCLE_H,4
1,315,765,20,8,SMALLCIRCLE_H,4
1,337,765,20,8,SMALLCIRCLE_H,4
1,359,765,20,8,SMALLCIRCLE_H,4
1,59,677,20,7,SMALLCIRCLE_H,4
1,104,705,20,8,SMALLCIRCLE_H,4
1,509,340,11,25,SMALLCIRCLE_V,4
1,509,370,11,25,SMALLCIRCLE_V,4
1,509,564,11,25,SMALLCIRCLE_V,4
